Jersey Number,Player Name,Position,Height,Weight,Birthdate,Experience,College
10,Josh Green,SG,6-5,200,"November 16, 2000",4,Arizona
30,Seth Curry,SG,6-1,185,"August 23, 1990",10,"Liberty, Duke"
14,Moussa Diabaté  (TW),C,6-11,210,"January 21, 2002",2,Michigan
31,Tidjane Salaün,PF,6-9,207,"August 10, 2005",R,
24,Brandon Miller,SF,6-9,201,"November 22, 2002",1,Alabama
1,LaMelo Ball,PG,6-7,180,"August 22, 2001",4,
22,Vasilije Micić,PG,6-5,200,"January 13, 1994",1,
0,Miles Bridges,PF,6-7,225,"March 21, 1998",5,Michigan State
2,Grant Williams,PF,6-6,236,"November 30, 1998",5,Tennessee
4,Nick Richards,C,7-0,245,"November 29, 1997",4,Kentucky
8,Nick Smith Jr.,SG,6-5,185,"April 18, 2004",1,Arkansas
67,Taj Gibson,C,6-9,232,"June 24, 1985",15,USC
23,Tre Mann,PG,6-3,178,"February 3, 2001",3,Florida
25,KJ Simpson  (TW),PG,6-0,189,"August 8, 2002",R,Colorado
5,Mark Williams,C,7-0,241,"December 16, 2001",2,Duke
21,Isaiah Wong  (TW),SG,6-4,184,"January 28, 2001",1,Miami (FL)
3,DaQuan Jeffries,SG,6-5,230,"August 30, 1997",5,"Oral Roberts, Tulsa"
17,Jonas Valančiūnas,C,6-11,265,"May 6, 1992",12,
8,Carlton Carrington,PG,6-4,190,"July 21, 2005",R,Pitt
13,Jordan Poole,SG,6-4,194,"June 19, 1999",5,Michigan
0,Bilal Coulibaly,SF,6-6,195,"July 26, 2004",1,
20,Alexandre Sarr,C,7-0,205,"April 26, 2005",R,
24,Corey Kispert,SF,6-7,220,"March 3, 1999",3,Gonzaga
18,Kyshawn George,SG,6-7,200,"December 12, 2003",R,Miami (FL)
4,Jared Butler  (TW),SG,6-3,195,"August 25, 2000",3,Baylor
1,Johnny Davis,SG,6-5,196,"February 27, 2002",2,Wisconsin
16,Anthony Gill,PF,6-7,230,"October 17, 1992",4,"South Carolina, Virginia"
35,Marvin Bagley III,C,6-10,235,"March 14, 1999",6,Duke
7,Patrick Baldwin Jr.,SF,6-9,220,"November 18, 2002",2,UW-Milwaukee
33,Kyle Kuzma,PF,6-9,221,"July 24, 1995",7,Utah
15,Malcolm Brogdon,PG,6-4,229,"December 11, 1992",8,Virginia
22,Richaun Holmes,PF,6-10,235,"October 15, 1993",9,Bowling Green
0,Tristan Vukcevic  (TW),C,6-10,223,"March 11, 2003",1,
,Saddiq Bey,SF,6-7,215,"April 9, 1999",4,Villanova
2,Shai Gilgeous-Alexander,PG,6-6,200,"July 12, 1998",6,Kentucky
8,Jalen Williams,SG,6-6,220,"April 14, 2001",2,Santa Clara
5,Luguentz Dort,SF,6-4,220,"April 19, 1999",5,Arizona State
21,Aaron Wiggins,SG,6-6,200,"January 2, 1999",3,Maryland
22,Cason Wallace,SG,6-4,205,"November 7, 2003",1,Kentucky
25,Ajay Mitchell  (TW),SG,6-5,200,"June 25, 2002",R,UC Santa Barbara
11,Isaiah Joe,SG,6-5,181,"July 2, 1999",4,Arkansas
3,Dillon Jones,SF,6-5,240,"October 29, 2001",R,Weber State
9,Alex Caruso,SG,6-5,186,"February 28, 1994",7,Texas A&M
34,Kenrich Williams,PF,6-7,210,"December 2, 1994",6,TCU
13,Ousmane Dieng,PF,6-10,222,"May 21, 2003",2,
55,Isaiah Hartenstein,C,7-0,255,"May 5, 1998",6,
7,Chet Holmgren,C,7-1,213,"May 1, 2002",1,Gonzaga
15,Branden Carlson,C,7-0,220,"June 14, 1999",R,Utah
88,Alex Ducas  (TW),SG,6-6,222,"December 11, 2000",R,Saint Mary's University
6,Jaylin Williams,PF,6-8,250,"June 29, 2002",2,Arkansas
,Nikola Topić,PG,6-6,201,"August 10, 2005",R,
1,Michael Porter Jr.,SF,6-10,218,"June 29, 1998",5,Missouri
4,Russell Westbrook,PG,6-4,200,"November 12, 1988",16,UCLA
3,Julian Strawther,SG,6-7,205,"April 18, 2002",1,Gonzaga
8,Peyton Watson,SF,6-8,200,"September 11, 2002",2,UCLA
0,Christian Braun,SG,6-6,218,"April 17, 2001",2,Kansas
15,Nikola Jokić,C,6-11,284,"February 19, 1995",9,
27,Jamal Murray,PG,6-4,215,"February 23, 1997",7,Kentucky
5,Hunter Tyson,PF,6-8,215,"June 13, 2000",1,Clemson
32,Aaron Gordon,PF,6-8,235,"September 16, 1995",10,Arizona
22,Zeke Nnaji,PF,6-9,240,"January 9, 2001",4,Arizona
6,DeAndre Jordan,C,6-11,265,"July 21, 1988",16,Texas A&M
9,Dario Šarić,C,6-10,225,"April 8, 1994",7,
23,Trey Alexander  (TW),SG,6-4,185,"May 2, 2003",R,Creighton
24,Jalen Pickett,SG,6-4,209,"October 22, 1999",1,"Siena College, Penn State"
13,PJ Hall  (TW),C,6-8,245,"February 21, 2002",R,Clemson
31,Vlatko Čančar,PF,6-8,236,"April 10, 1997",4,
21,Spencer Jones  (TW),SF,6-7,225,"June 14, 2001",R,Stanford
,DaRon Holmes,PF,6-10,225,"August 15, 2002",R,Dayton
5,Anthony Edwards,SG,6-4,225,"August 5, 2001",4,Georgia
30,Julius Randle,PF,6-9,250,"November 29, 1994",10,Kentucky
11,Naz Reid,C,6-9,264,"August 26, 1999",5,LSU
27,Rudy Gobert,C,7-1,258,"June 26, 1992",11,
3,Jaden McDaniels,PF,6-9,185,"September 29, 2000",4,Washington
9,Nickeil Alexander-Walker,SG,6-5,205,"September 2, 1998",5,Virginia Tech
0,Donte DiVincenzo,SG,6-4,203,"January 31, 1997",6,Villanova
10,Mike Conley,PG,6-0,175,"October 11, 1987",17,Ohio State
8,Josh Minott,SF,6-8,205,"November 25, 2002",2,Memphis
4,Rob Dillingham,PG,6-1,176,"January 4, 2005",R,Kentucky
0,Terrence Shannon Jr.,SG,6-6,215,"July 30, 2000",R,"Texas Tech, Illinois"
55,Luka Garza,C,6-10,235,"December 27, 1998",3,Iowa
35,PJ Dozier,SG,6-6,205,"October 25, 1996",6,South Carolina
7,Joe Ingles,SF,6-8,220,"October 2, 1987",10,
1,Daishen Nix  (TW),PG,6-5,224,"February 13, 2002",3,
33,Leonard Miller,SF,6-10,210,"November 26, 2003",1,
,Jesse Edwards  (TW),C,6-11,230,"March 18, 2000",R,"West Virginia, Syracus"
8,Deni Avdija,SF,6-9,210,"January 3, 2001",4,
33,Toumani Camara,PF,6-8,220,"May 8, 2000",1,Dayton
9,Jerami Grant,PF,6-7,210,"March 12, 1994",10,Syracuse
1,Anfernee Simons,SG,6-3,181,"June 8, 1999",6,
5,Dalano Banton,PG,6-9,204,"November 7, 1999",3,Nebraska
24,Kris Murray,SF,6-8,220,"August 19, 2000",1,Iowa
34,Jabari Walker,SF,6-9,215,"July 30, 2002",2,Colorado
21,Rayan Rupert,SG,6-6,205,"May 31, 2004",1,
0,Scoot Henderson,PG,6-3,202,"February 3, 2004",1,
23,Donovan Clingan,C,7-2,280,"February 23, 2004",R,UConn
17,Shaedon Sharpe,SG,6-6,200,"May 30, 2003",2,Kentucky
2,Deandre Ayton,C,7-0,250,"July 23, 1998",6,Arizona
26,Duop Reath,C,6-11,245,"June 26, 1996",1,"Lee College, LSU"
35,Robert Williams,C,6-9,237,"October 17, 1997",6,Texas A&M
76,Taze Moore  (TW),SG,6-5,195,"June 29, 1998",1,"Cal State-Bakersfield, Houston"
11,Bryce McGowens  (TW),SG,6-7,179,"November 8, 2002",2,Nebraska
10,Justin Minaya  (TW),SF,6-5,210,"March 26, 1999",2,
,Matisse Thybulle,SG,6-5,201,"March 4, 1997",5,Washington
2,Collin Sexton,SG,6-3,190,"January 4, 1999",6,Alabama
20,John Collins,PF,6-9,235,"September 23, 1997",7,Wake Forest
3,Keyonte George,PG,6-4,185,"November 8, 2003",1,Baylor
33,Johnny Juzang,SG,6-7,215,"March 17, 2001",2,"Kentucky, UCLA"
23,Lauri Markkanen,PF,7-0,240,"May 22, 1997",7,Arizona
24,Walker Kessler,C,7-0,245,"July 26, 2001",2,"UNC, Auburn"
28,Brice Sensabaugh,SF,6-6,235,"October 30, 2003",1,Ohio State
15,Drew Eubanks,C,6-9,245,"February 1, 1997",6,Oregon State
13,Isaiah Collier,PG,6-3,210,"October 8, 2004",R,USC
0,Jordan Clarkson,SG,6-3,194,"June 7, 1992",10,"Tulsa, Missouri"
22,Kyle Filipowski,C,6-11,250,"November 7, 2003",R,Duke
5,Cody Williams,SG,6-7,190,"November 20, 2004",R,Colorado
8,Patty Mills,PG,6-2,180,"August 11, 1988",15,Saint Mary's
19,Svi Mykhailiuk,SF,6-7,205,"June 10, 1997",6,Kansas
25,Micah Potter  (TW),C,6-10,248,"April 6, 1998",3,"Ohio State, Wisconsin"
0,Taylor Hendricks,PF,6-9,210,"November 22, 2003",1,Central Florida
34,Oscar Tshiebwe  (TW),PF,6-9,260,"November 27, 1999",1,"West Virginia, Kentucky"
,David Jones  (TW),SF,6-6,210,"November 24, 2001",R,"DePaul, St. John's, Memphis"
40,Ivica Zubac,C,7-0,240,"March 18, 1997",8,
8,Kris Dunn,PG,6-3,205,"March 18, 1994",8,Providence
33,Nicolas Batum,PF,6-8,230,"December 14, 1988",16,
1,James Harden,PG,6-5,220,"August 26, 1989",15,Arizona State
7,Amir Coffey,SG,6-7,210,"June 17, 1997",5,Minnesota
55,Derrick Jones Jr.,SF,6-5,210,"February 15, 1997",8,UNLV
77,Kevin Porter Jr.,SG,6-4,203,"May 4, 2000",4,USC
24,Norman Powell,SG,6-3,215,"May 25, 1993",9,UCLA
14,Terance Mann,SG,6-5,215,"October 18, 1996",5,Florida State
23,Kai Jones  (TW),C,6-11,218,"January 19, 2001",2,Texas
4,Mo Bamba,C,7-0,231,"May 12, 1998",6,Texas
5,Bones Hyland,PG,6-2,173,"September 14, 2000",3,VCU
21,Kobe Brown,PF,6-7,250,"January 1, 2000",1,Missouri
9,Trentyn Flowers  (TW),SF,6-7,185,"March 8, 2005",R,
12,Cam Christie,SG,6-5,190,"July 24, 2005",R,Minnesota
,Kawhi Leonard,SF,6-7,225,"June 29, 1991",12,San Diego State
,P.J. Tucker,SF,6-5,245,"May 5, 1985",13,Texas
4,Dalton Knecht,SF,6-6,215,"April 19, 2001",R,"Northeastern Junior College, University of Northern Colorado, Tennessee"
7,Gabe Vincent,PG,6-3,195,"June 14, 1996",5,UC Santa Barbara
3,Anthony Davis,C,6-10,253,"March 11, 1993",12,Kentucky
12,Max Christie,SG,6-6,190,"February 10, 2003",2,Michigan State
23,LeBron James,SF,6-9,250,"December 30, 1984",21,
1,D'Angelo Russell,PG,6-3,193,"February 23, 1996",9,Ohio State
15,Austin Reaves,SG,6-5,206,"May 29, 1998",3,"Wichita State, Oklahoma"
28,Rui Hachimura,PF,6-8,230,"February 8, 1998",5,Gonzaga
5,Cam Reddish,SF,6-8,218,"September 1, 1999",5,Duke
10,Christian Koloko  (TW),C,7-1,230,"June 20, 2000",1,Arizona
11,Jaxson Hayes,C,7-0,220,"May 23, 2000",5,Texas
94,Armel Traoré  (TW),SF,6-8,215,"January 23, 2003",R,
9,Bronny James,SG,6-2,210,"October 6, 2004",R,USC
20,Maxwell Lewis,SF,6-7,195,"July 27, 2002",1,Pepperdine
0,Jalen Hood-Schifino,SG,6-6,215,"June 19, 2003",1,Indiana
41,Quincy Olivari  (TW),PG,6-3,198,"May 27, 2001",R,"Rice University, Xavier"
,Jarred Vanderbilt,PF,6-8,214,"April 3, 1999",6,Kentucky
,Christian Wood,C,6-8,214,"September 27, 1995",8,UNLV
7,Buddy Hield,SG,6-4,220,"December 17, 1992",8,Oklahoma
2,Brandin Podziemski,SG,6-5,205,"February 25, 2003",1,"Illinois, Santa Clara"
32,Trayce Jackson-Davis,C,6-9,245,"February 22, 2000",1,Indiana
0,Gary Payton II,SG,6-2,190,"December 1, 1992",8,Oregon State
0,Jonathan Kuminga,PF,6-8,210,"October 6, 2002",3,
5,Kevon Looney,C,6-9,222,"February 6, 1996",9,UCLA
23,Draymond Green,PF,6-6,230,"March 4, 1990",12,Michigan State
22,Andrew Wiggins,SF,6-7,197,"February 23, 1995",10,Kansas
1,Kyle Anderson,PF,6-9,230,"September 20, 1993",10,UCLA
30,Stephen Curry,PG,6-2,185,"March 14, 1988",15,Davidson
4,Moses Moody,SG,6-5,205,"May 31, 2002",3,Arkansas
43,Lindy Waters III,SG,6-6,215,"July 28, 1997",3,Oklahoma State
61,Pat Spencer  (TW),PG,6-3,205,"July 4, 1996",1,"Loyola (MD), Northwestern"
15,Gui Santos,PF,6-8,209,"June 22, 2002",1,
71,Dennis Schröder,PG,6-1,172,"September 15, 1993",11,
3,Reece Beekman  (TW),PG,6-1,190,"October 8, 2001",R,Virginia
,Quinten Post  (TW),PF,7-0,238,"March 21, 2000",R,"Mississippi State, Boston Colleg"
21,Tyus Jones,PG,6-1,196,"May 10, 1996",9,Duke
0,Royce O'Neale,SF,6-4,226,"June 5, 1993",7,"Denver, Baylor"
22,Mason Plumlee,C,6-10,254,"March 5, 1990",11,Duke
1,Devin Booker,SG,6-6,206,"October 30, 1996",9,Kentucky
0,Ryan Dunn,SF,6-6,216,"January 7, 2003",R,Virginia
23,Monte Morris,PG,6-2,183,"June 27, 1995",7,Iowa State
8,Grayson Allen,SG,6-4,198,"October 8, 1995",6,Duke
4,Oso Ighodaro,PF,6-10,235,"July 14, 2002",R,Marquette
20,Jusuf Nurkić,C,7-0,290,"August 23, 1994",10,
35,Kevin Durant,PF,6-11,240,"September 29, 1988",16,Texas
3,Bradley Beal,SG,6-4,207,"June 28, 1993",12,Florida
2,Josh Okogie,SG,6-4,213,"September 1, 1998",6,Georgia Tech
11,Bol Bol  (TW),PF,7-3,220,"November 16, 1999",5,Oregon
10,Damion Lee,SG,6-5,210,"October 21, 1992",6,"Drexel, Louisville"
14,TyTy Washington Jr.  (TW),PG,6-3,197,"November 15, 2001",2,Kentucky
15,Jalen Bridges  (TW),SF,6-8,225,"May 14, 2001",R,"West Virginia, Baylor"
12,Collin Gillespie  (TW),PG,6-1,195,"June 25, 1999",1,Villanova
5,De'Aaron Fox,PG,6-3,185,"December 20, 1997",7,Kentucky
13,Keegan Murray,PF,6-8,215,"August 19, 2000",2,Iowa
11,Domantas Sabonis,C,6-10,240,"May 3, 1996",8,Gonzaga
23,Keon Ellis,SG,6-6,175,"January 8, 2000",2,"Florida SouthWestern State College, Alabama"
9,Kevin Huerter,SG,6-7,190,"August 27, 1998",6,Maryland
10,DeMar DeRozan,SF,6-6,220,"August 7, 1989",15,USC
0,Malik Monk,SG,6-3,200,"February 4, 1998",7,Kentucky
7,Doug McDermott,SF,6-6,225,"January 3, 1992",10,Creighton
3,Jordan McLaughlin,PG,6-0,185,"April 9, 1996",5,USC
25,Alex Len,C,7-0,250,"June 16, 1993",11,Maryland
41,Trey Lyles,PF,6-9,234,"November 5, 1995",9,Kentucky
17,Isaac Jones  (TW),PF,6-8,245,"July 11, 2000",R,"Wenatchee Valley College, Idaho, Washington State"
20,Colby Jones,SG,6-6,205,"May 28, 2002",1,Xavier
77,Orlando Robinson,C,7-0,235,"July 10, 2000",2,Fresno State
99,Jae Crowder,SF,6-6,235,"July 6, 1990",12,Marquette
24,Isaiah Crawford  (TW),SF,6-6,220,"November 1, 2001",R,Louisiana Tech
,Devin Carter,PG,6-2,195,"March 18, 2002",R,"South Carolina, Providence"
4,Jalen Green,SG,6-4,178,"February 9, 2002",3,
28,Alperen Sengun,C,6-11,235,"July 25, 2002",3,
10,Jabari Smith Jr.,PF,6-11,220,"May 13, 2003",2,Auburn
1,Amen Thompson,SF,6-7,209,"January 30, 2003",1,
9,Dillon Brooks,SF,6-6,225,"January 22, 1996",7,Oregon
5,Fred VanVleet,PG,6-0,197,"February 25, 1994",8,Wichita State
15,Reed Sheppard,PG,6-2,185,"June 24, 2004",R,Kentucky
17,Tari Eason,PF,6-8,216,"May 10, 2001",2,"Cincinnati, LSU"
0,Aaron Holiday,PG,6-0,185,"September 30, 1996",6,UCLA
2,Jock Landale,C,6-11,256,"October 25, 1995",3,Saint Mary's
12,Steven Adams,C,6-11,265,"July 20, 1993",10,Pitt
8,Jae'Sean Tate,SF,6-4,230,"October 28, 1995",4,Ohio State
7,Cam Whitmore,SF,6-7,232,"July 8, 2004",1,Villanova
32,Jeff Green,PF,6-8,235,"August 28, 1986",16,Georgetown
58,Jack McVeigh  (TW),PF,6-8,215,"June 27, 1996",R,Nebraska
19,Jeenathan Williams  (TW),SG,6-5,205,"February 12, 1999",2,Buffalo
,N'Faly Dante  (TW),C,6-11,230,"October 19, 2001",R,Oregon
7,Santi Aldama,PF,6-11,224,"January 10, 2001",3,Loyola (MD)
0,Jaylen Wells,SG,6-7,206,"August 26, 2003",R,"Sonoma State University, Washington State"
1,Scotty Pippen Jr.,PG,6-1,185,"November 10, 2000",2,Vanderbilt
3,Jake LaRavia,PF,6-8,235,"November 3, 2001",2,"Indiana State University, Wake Forest"
15,Brandon Clarke,PF,6-8,215,"September 19, 1996",5,"San Jose State, Gonzaga"
13,Jaren Jackson Jr.,C,6-10,242,"September 15, 1999",6,Michigan State
30,Jay Huff,C,7-1,240,"August 25, 1998",3,Virginia
22,Desmond Bane,SG,6-5,215,"June 25, 1998",4,TCU
12,Ja Morant,PG,6-2,174,"August 10, 1999",5,Murray State
14,Zach Edey,C,7-4,305,"May 14, 2002",R,Purdue
36,Marcus Smart,PG,6-3,220,"March 6, 1994",10,Oklahoma State
10,Luke Kennard,SG,6-5,206,"June 24, 1996",7,Duke
